,OBJECTID,TRACT,GEOID,Total Population,Total Pop of 1 Race,Pop of 1 race: White,Pop of 1 race: Black,Pop of 1 race: American Indian Alaskan,Pop of 1 race: Asian,Pop of 1 race: Native Hawaiian Pacific Islander,Pop of 1 race: Other Race,Pop 2 or more races: Black and,Pop 2 or more races: American Indian Alaskan and,Pop 2 or more races: Asian and,Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Hispanic Population,Total Non-Minority Population (White Not Hispanic),Not Hispanic Pop of 1 race: Black,Not Hispanic Pop of 1 race: American Indian Alaskan,Not Hispanic Pop of 1 race: Asian,Not Hispanic Pop of 1 race: Native Hawaiian Pacific Islander,Not Hispanic Pop of 1 race: Other Race,Not Hispanic Pop 2 or more races: Black and,Not Hispanic Pop 2 or more races: American Indian Alaskan and,Not Hispanic Pop 2 or more races: Asian and,Not Hispanic Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Pop 18+,18+ Pop 1 race: White,18+ Pop 1 race: Black,18+ Pop 1 race: American Indian Alaskan,18+ Pop 1 race: Asian,18+ Pop 1 race: Native Hawaiian Pacific Islander,18+ Pop 1 race: Other race,18+ Pop 2 or more races: Black and,18+ Pop 2 or more races: American Indian Alaskan and,18+ Pop 2 or more races: Asian and,18+ Pop 2 or more races: Native Hawaiian Pacific Islander,Hispanic 18+ Pop,Non-Minority 18+ Pop (White Non-Hispanic),Not Hispanic 18+ Pop 1 race: Black,Not Hispanic 18+ Pop 1 race: American Indian Alaskan,Not Hispanic 18+ Pop 1 race: Asian,Not Hispanic 18+ Pop 1 race: Native Hawaiian Pacific Islander,Not Hispanic 18+ Pop 1 race: Other race,Not Hispanic 18+ Pop 2 or more races: Black and,Not Hispanic 18+ Pop 2 or more races: American Indian Alaskan and,Not Hispanic 18+ Pop 2 or more races: Asian and,Not Hispanic 18+ Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Housing Units,Occupied Housing Units,Vacant Housing Units,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015,NEIGHBORHOODCLUSTER,POPDENSITY,INCOME_LEVEL_2010,INCOME_LEVEL_2015,INCOME_CH_2005_2010,INCOME_CH_2010_2015,BIN_INCOME_CH_2005_2010,BIN_INCOME_CH_2010_2015
121,122,27.01,11001002701,5233,4989,2828,1281,29,276,2,573,124,56,88,12,1269,2267,1236,16,267,2,18,86,33,73,7,4623,2548,1169,24,250,2,444,99,53,60,11,1004,2092,1128,15,243,2,17,70,30,51,7,2845,2655,190,111.26,0.17,3377.59,450269.06,137493357.0,35394.5,184313228.0,42690.0,169063427.0,39237.0,178818098.7,41223.5,175143270.64,43441.0,226192119.8,47231.0,2,30100.69,MID_INCOME,MID_INCOME,-34.81,33.44,DECREASE,LG_INCREASE
122,123,76.01,11001007601,4355,4285,140,4109,7,21,0,8,64,31,12,2,61,124,4075,6,21,0,4,59,28,11,2,3411,132,3200,7,18,0,6,42,26,8,2,48,118,3175,6,18,0,2,39,24,7,2,2196,1855,341,312.11,0.49,4733.03,1263062.67,65787519.0,28653.0,72209610.0,29757.0,67410946.0,28397.0,72573691.0,29717.0,76798005.0,30483.5,82541867.0,30846.0,34,8930.2,LOW_INCOME,MID_INCOME,-11.87,7.65,DECREASE,LG_INCREASE
123,124,76.03,11001007603,4044,3961,244,3645,26,19,1,26,76,39,4,3,89,224,3613,23,19,0,1,72,38,4,2,3331,221,2990,19,15,1,20,59,27,4,3,72,205,2964,17,15,0,1,55,26,4,2,2328,2121,207,303.08,0.47,4994.72,1226529.03,95985961.0,42744.0,96251269.0,41564.0,96420454.0,41551.0,100710493.0,41409.0,100775617.0,41528.5,106625544.0,42402.0,35,8539.47,MID_INCOME,MID_INCOME,-0.42,-0.8,DECREASE,DECREASE
124,125,76.04,11001007604,3644,3594,148,3411,10,10,1,14,45,22,9,0,59,127,3387,9,10,1,4,43,21,8,0,2982,134,2779,9,10,1,10,36,18,7,0,45,115,2763,9,10,1,3,34,17,6,0,1931,1750,181,338.16,0.53,5427.18,1368471.78,77030053.0,35693.5,80847329.0,36500.5,77577041.0,34254.5,82552503.0,36143.0,87515989.0,36633.0,94079938.0,38093.5,35,6896.68,MID_INCOME,MID_INCOME,32.82,6.72,LG_INCREASE,LG_INCREASE
125,126,76.05,11001007605,3447,3380,47,3292,16,11,0,14,62,29,11,2,43,37,3278,15,11,0,5,57,29,11,2,2763,43,2635,13,10,0,12,45,26,7,2,30,37,2623,13,10,0,4,45,26,7,2,1804,1581,223,112.12,0.18,3673.0,453748.51,53319053.0,31064.0,56942326.0,29971.0,55599933.0,30825.5,56534733.0,30292.0,59581383.0,31643.0,61946654.0,31588.5,34,19675.41,MID_INCOME,MID_INCOME,-46.46,1.69,DECREASE,LG_INCREASE
126,127,77.03,11001007703,5187,5105,53,4924,10,5,1,112,72,47,7,2,186,29,4886,9,5,1,5,63,39,5,2,3665,44,3476,8,3,1,82,42,32,5,2,140,24,3446,8,3,1,4,37,24,3,2,2338,2103,235,249.88,0.39,4509.85,1011230.45,62080786.0,26835.0,66007045.0,24882.0,65408275.0,25046.5,65645025.0,25153.0,71794022.0,26023.5,76945859.0,26266.0,32,13285.07,LOW_INCOME,LOW_INCOME,-30.52,-2.12,DECREASE,DECREASE
127,128,77.07,11001007707,3867,3828,42,3740,12,1,0,33,37,19,2,1,64,42,3712,11,1,0,4,32,18,2,1,2841,38,2742,10,1,0,22,26,16,1,0,39,38,2728,9,1,0,3,22,15,1,0,1721,1555,166,208.26,0.33,4424.68,842783.95,58126835.3,31164.0,61842067.0,28427.5,57877113.0,29008.0,62097139.0,28629.0,64147480.0,30013.0,66746843.0,29422.5,33,11883.81,MID_INCOME,LOW_INCOME,-16.21,-5.59,DECREASE,DECREASE
128,129,77.08,11001007708,2486,2438,11,2416,2,1,2,6,44,24,7,3,35,9,2395,2,1,2,1,41,23,6,2,1837,9,1782,2,1,2,4,34,18,6,3,24,9,1767,2,1,2,0,32,17,5,2,1262,1084,178,211.6,0.33,4293.39,856319.16,30562571.0,26240.0,34921404.0,25245.0,31748410.0,25109.5,33241592.0,24441.0,33292010.0,25265.0,34745840.0,25783.0,32,7519.05,LOW_INCOME,LOW_INCOME,-17.62,-1.74,DECREASE,DECREASE
129,130,77.09,11001007709,2007,1972,38,1896,8,3,0,27,32,19,6,0,47,29,1884,7,3,0,8,29,16,6,0,1599,34,1513,7,3,0,19,21,14,2,0,30,28,1505,6,3,0,7,20,12,2,0,1144,979,165,228.47,0.36,4639.0,924591.06,28571370.0,29896.0,30343665.0,30352.0,28310642.0,27863.5,31742090.0,28828.0,33881022.0,28981.0,34779735.0,28775.0,34,5622.06,LOW_INCOME,LOW_INCOME,-60.65,-3.75,DECREASE,DECREASE
130,131,78.03,11001007803,3293,3244,36,3126,15,8,0,59,40,20,10,5,103,22,3102,15,8,0,6,35,19,6,4,2543,32,2404,12,7,0,45,35,18,6,5,75,22,2387,12,7,0,6,32,17,4,4,1652,1438,214,247.76,0.39,4553.27,1002642.48,47573443.6,29997.0,52825855.0,27686.0,48905994.0,27744.5,49369713.0,27604.0,57963981.0,28576.0,61989776.0,29393.5,30,8506.35,LOW_INCOME,LOW_INCOME,-0.4,-2.01,DECREASE,DECREASE
131,132,78.04,11001007804,3446,3366,24,3289,4,4,0,45,72,44,19,5,69,18,3277,4,4,0,5,63,42,19,5,2432,19,2323,4,4,0,28,47,27,12,5,42,16,2315,4,4,0,4,42,25,12,5,1378,1212,166,209.51,0.33,4574.8,847856.19,37285095.0,27108.0,42241373.0,24947.0,36383082.0,24256.5,40137177.0,24418.0,43080974.0,25264.0,45942286.0,25868.0,31,10526.67,LOW_INCOME,LOW_INCOME,-26.69,-4.57,DECREASE,DECREASE
132,133,78.06,11001007806,2347,2319,35,2247,13,3,1,20,27,21,0,7,75,22,2208,12,3,0,0,27,20,0,7,1797,30,1723,10,3,1,12,17,14,0,1,51,22,1695,9,3,0,0,17,13,0,1,1102,964,138,170.23,0.27,4130.21,688883.47,32232385.0,29933.0,35524039.0,27394.0,32201366.0,28847.0,35415431.0,29425.5,37422570.0,30052.0,42317490.0,30296.5,31,8823.99,LOW_INCOME,MID_INCOME,-5.9,1.21,DECREASE,LG_INCREASE
133,134,27.02,11001002702,5226,5006,3439,699,48,205,1,614,65,38,58,14,1303,2924,652,15,202,0,24,43,21,52,11,4578,3057,635,37,185,1,494,46,32,44,12,1076,2620,591,11,183,0,15,32,18,39,9,2565,2311,254,124.92,0.2,3697.63,505551.61,198770793.0,43840.5,223639542.0,48746.5,216772349.0,45791.0,238216199.0,47500.0,232110688.0,47399.0,270883128.0,50917.0,2,26773.29,MID_INCOME,MID_INCOME,72.29,16.14,LG_INCREASE,LG_INCREASE
134,135,28.01,11001002801,3773,3602,1241,1359,23,155,1,823,69,40,41,5,1382,817,1321,11,151,0,12,44,24,31,5,3145,1128,1088,16,129,1,641,53,30,38,4,1090,792,1058,6,125,0,10,32,18,28,4,1820,1646,174,42.48,0.07,1725.32,171893.39,65733402.0,23606.0,94212705.0,28873.0,83898374.0,26426.0,90893505.0,28629.0,80041474.0,28917.0,97260309.0,33796.0,2,56849.34,LOW_INCOME,MID_INCOME,-71.63,43.17,DECREASE,LG_INCREASE
135,136,96.03,11001009603,3373,3305,25,3236,10,7,1,26,53,35,17,4,62,17,3220,9,7,1,3,47,32,13,2,2646,22,2545,6,5,1,17,38,24,15,4,39,17,2536,5,5,1,2,34,22,11,2,1750,1588,162,157.96,0.25,3866.07,639248.92,50548063.0,29854.0,54782066.0,29205.0,51432289.0,28037.5,52174930.0,28187.0,55087454.94,27981.0,58282104.0,29140.0,32,13666.08,LOW_INCOME,LOW_INCOME,-0.81,-2.39,DECREASE,DECREASE
136,137,96.04,11001009604,1962,1925,31,1865,4,1,0,24,27,13,5,8,55,22,1859,1,1,0,0,21,12,4,3,1592,28,1514,2,1,0,16,22,13,4,8,39,21,1509,1,1,0,0,18,12,3,3,998,927,71,135.55,0.21,3139.25,548532.19,39320298.0,34892.0,42571608.0,36056.5,37671884.0,33177.0,38840511.0,34782.5,41657348.0,35693.0,42752988.0,35403.0,32,9263.92,MID_INCOME,MID_INCOME,0.2,1.46,LG_INCREASE,LG_INCREASE
137,138,97.0,11001009700,3177,3141,20,3098,6,4,5,8,34,17,3,3,32,13,3086,6,3,5,0,32,16,3,3,2256,16,2196,5,4,1,5,27,15,1,2,22,13,2187,5,3,1,0,25,14,1,2,1307,1179,128,101.31,0.16,3393.28,410006.91,37230924.0,28163.5,41269716.0,27242.0,39880533.0,28285.0,40335605.0,26811.0,41436665.8,27024.0,42553067.0,28849.0,39,20068.91,LOW_INCOME,LOW_INCOME,-2.51,2.43,DECREASE,LG_INCREASE
138,139,98.01,11001009801,1575,1554,16,1526,3,5,0,4,21,7,1,0,26,11,1512,3,5,0,2,16,7,1,0,1100,15,1058,3,5,0,4,15,6,1,0,14,10,1053,3,5,0,2,13,6,1,0,766,677,89,110.84,0.17,3275.82,448549.97,16467492.0,24531.5,19048407.0,25883.5,19081986.0,27074.5,18248824.0,25989.0,17778638.57,23323.5,19288881.0,24214.0,39,9094.26,LOW_INCOME,LOW_INCOME,-35.25,-1.29,DECREASE,DECREASE
139,140,98.02,11001009802,1693,1678,11,1665,1,0,0,1,12,3,1,2,27,10,1643,1,0,0,1,11,3,1,2,1136,10,1111,1,0,0,1,10,3,1,2,13,9,1103,1,0,0,1,9,3,1,2,848,677,171,49.6,0.08,2124.24,200725.17,15926462.0,24440.0,18186608.0,23629.0,15540000.0,24559.0,16598367.0,23436.0,15661896.0,21843.5,17489336.0,21172.0,39,21845.04,LOW_INCOME,LOW_INCOME,-12.92,-13.37,DECREASE,DECREASE
140,141,78.07,11001007807,2139,2108,18,2053,2,5,0,30,30,9,8,0,49,9,2043,2,5,0,4,26,9,7,0,1593,13,1537,1,5,0,18,18,8,2,0,29,9,1531,1,5,0,1,16,8,2,0,906,810,96,129.42,0.2,3369.64,523752.82,26964218.0,27911.5,29022672.0,25588.0,27172275.0,26950.5,29864189.0,26722.0,31685807.0,25848.0,32933216.0,27008.0,31,10577.48,LOW_INCOME,LOW_INCOME,-15.97,-3.24,DECREASE,DECREASE
141,142,78.08,11001007808,3646,3592,34,3489,10,9,0,50,53,38,4,0,77,29,3470,8,9,0,12,40,33,3,0,2544,28,2431,9,5,0,33,37,26,2,0,51,24,2417,7,5,0,11,28,23,2,0,1598,1352,246,234.84,0.37,4159.12,950350.84,44146628.79,27911.0,47655483.0,24266.0,44039061.0,26488.0,45848749.0,25835.0,51644760.0,26059.5,55871889.0,27844.5,31,9936.43,LOW_INCOME,LOW_INCOME,20.97,-0.24,LG_INCREASE,DECREASE
142,143,87.01,11001008701,2407,2360,384,1888,4,38,3,43,34,15,16,0,114,356,1856,3,38,2,3,28,10,16,0,1978,357,1513,4,29,3,39,25,12,10,0,96,332,1491,3,29,2,2,19,7,10,0,972,873,99,95.0,0.15,2699.85,384468.42,48565203.0,34711.0,70853972.0,37790.0,57403391.0,35334.0,65364292.0,38164.0,74587120.0,41781.0,86810333.0,44960.0,21,16214.86,MID_INCOME,MID_INCOME,-35.29,29.53,DECREASE,LG_INCREASE
143,144,87.02,11001008702,1599,1557,221,1280,6,16,1,33,39,13,6,2,103,182,1265,6,13,1,1,27,9,6,2,1325,195,1055,6,16,1,20,30,11,5,0,72,167,1044,6,13,1,0,21,8,5,0,902,713,189,117.22,0.18,3710.81,474387.96,28412101.0,32251.0,59322798.0,41675.0,30878869.0,32047.0,43104817.0,38477.5,74934828.0,47601.0,159109427.0,53754.0,21,8729.97,MID_INCOME,MID_INCOME,228.89,66.67,LG_INCREASE,LG_INCREASE
144,145,88.02,11001008802,4119,4030,308,3607,29,35,4,47,68,36,15,6,172,268,3555,16,35,4,1,61,24,12,6,3301,274,2873,22,32,1,37,45,27,10,6,129,240,2840,10,32,1,1,41,18,8,6,1999,1746,253,116.57,0.18,2848.58,471741.08,62141902.81,28875.5,80440359.0,31959.5,68412661.0,29125.0,73584575.0,29903.0,86766327.42,35199.0,99751561.0,38882.5,23,22614.44,LOW_INCOME,MID_INCOME,-38.51,34.66,DECREASE,LG_INCREASE
145,146,88.03,11001008803,2037,1958,694,1143,9,54,5,53,43,21,29,6,167,621,1117,8,52,5,3,33,16,27,5,1709,673,860,9,49,5,45,32,22,28,6,146,603,842,8,47,5,3,24,16,27,5,612,442,170,284.58,0.44,5287.3,1151642.21,9823344.0,16056.0,14330450.0,16546.0,11668374.0,16917.0,12715225.0,16095.0,18786961.0,21519.0,22956326.0,24186.0,23,4581.12,LOW_INCOME,LOW_INCOME,-49.76,50.64,DECREASE,LG_INCREASE
146,147,98.03,11001009803,2758,2719,23,2684,5,3,0,4,35,16,10,4,30,20,2667,5,3,0,0,29,14,10,4,2000,22,1943,5,2,0,4,22,11,5,2,21,19,1931,5,2,0,0,20,10,5,2,1416,1201,215,131.21,0.21,3195.47,531001.19,30971202.0,26640.0,33847590.0,23984.0,33180603.0,25128.5,33226454.0,25227.0,35039724.0,25379.0,37398304.0,26262.5,39,13452.3,LOW_INCOME,LOW_INCOME,11.02,-1.42,LG_INCREASE,DECREASE
147,148,98.04,11001009804,2473,2435,42,2369,5,4,0,15,32,13,4,2,56,14,2361,5,4,0,3,30,12,1,1,1778,28,1706,4,4,0,13,19,7,2,1,39,11,1700,4,4,0,2,18,7,0,1,1071,955,116,128.07,0.2,3761.59,518298.51,32581400.0,27829.0,34316210.0,27427.5,33095951.0,27152.5,34012746.0,27000.0,37891027.0,28276.5,40708270.0,29122.0,39,12357.82,LOW_INCOME,LOW_INCOME,10.71,4.65,LG_INCREASE,LG_INCREASE
148,149,98.07,11001009807,3072,3022,56,2937,4,13,0,12,48,24,3,0,58,38,2912,3,13,0,1,46,24,3,0,2396,46,2304,4,12,0,11,18,12,1,0,42,36,2283,3,12,0,1,18,12,1,0,1551,1350,201,256.63,0.4,5057.76,1038531.7,49300774.86,31540.43,50089141.0,29196.0,50160528.0,29574.5,51025204.0,29638.0,52225202.0,28837.0,55085531.0,30509.0,39,7661.24,MID_INCOME,MID_INCOME,-68.04,-3.27,DECREASE,DECREASE
149,150,98.1,11001009810,2507,2483,15,2456,3,1,0,8,23,12,8,0,22,15,2439,3,1,0,6,21,12,6,0,1734,13,1692,3,1,0,6,18,11,8,0,17,13,1680,3,1,0,4,16,11,6,0,1171,1103,68,101.92,0.16,2811.71,412442.53,20731641.0,22114.0,23630871.0,20845.0,22087145.0,21242.0,22667655.0,21012.5,23590181.04,22107.0,25212674.0,21337.0,39,15743.04,LOW_INCOME,LOW_INCOME,-11.47,-3.51,DECREASE,DECREASE
150,151,105.0,11001010500,3410,3296,1101,1888,15,231,2,59,63,33,43,10,212,1000,1858,13,228,2,10,49,26,35,4,2946,1074,1501,14,211,2,50,47,28,38,10,190,977,1477,13,208,2,10,35,20,30,4,2347,2000,347,185.97,0.29,3700.26,752606.63,84029289.0,45706.5,112250955.0,52096.0,98303018.0,48448.0,105746983.0,51276.5,106072495.0,52567.0,124766159.0,56785.0,9,11735.03,MID_INCOME,MID_INCOME,66.92,24.24,LG_INCREASE,LG_INCREASE
151,152,106.0,11001010600,3933,3814,1624,1992,15,126,0,57,70,44,38,3,177,1548,1969,3,123,0,10,63,39,35,2,3397,1503,1622,14,117,0,47,52,37,33,2,141,1442,1603,3,115,0,10,48,33,30,2,1927,1670,257,305.56,0.48,5269.16,1236574.35,121226133.0,46770.0,256230114.0,55071.5,161447062.0,51645.0,209503581.0,53822.0,231914897.58,55353.0,313701867.0,58798.5,25,8237.61,MID_INCOME,MID_INCOME,-38.63,25.72,DECREASE,LG_INCREASE
152,153,107.0,11001010700,1838,1775,1442,89,6,209,0,29,12,7,40,7,137,1344,85,5,207,0,4,10,6,38,7,1821,1433,86,6,207,0,28,10,8,40,7,134,1336,83,5,205,0,4,8,6,39,7,1413,1244,169,220.29,0.34,3825.47,891498.14,76742725.0,55538.5,121704083.0,63057.0,65155219.0,58724.0,148356514.0,60245.0,131895201.0,71866.0,156457298.0,72231.0,6,5339.77,MID_INCOME,MID_HIGH_INCOME,111.93,30.06,LG_INCREASE,LG_INCREASE
153,154,108.0,11001010800,6408,6194,5146,279,2,708,3,56,133,32,150,27,268,4946,277,2,706,2,6,129,29,149,27,6381,5132,270,2,706,3,56,131,32,148,27,265,4933,269,2,704,2,6,128,29,148,27,1115,1034,81,163.46,0.26,3482.47,661517.92,23332003.5,39566.0,35939787.0,42735.0,33571416.0,40108.0,44924794.0,39390.0,33640053.0,41873.0,38436301.0,47991.5,5,25088.73,MID_INCOME,MID_INCOME,-28.7,21.29,DECREASE,LG_INCREASE
154,155,109.0,11001010900,3211,3146,58,3055,6,15,0,12,61,22,9,0,47,49,3035,6,15,0,2,56,21,6,0,2356,56,2226,5,15,0,8,43,22,5,0,35,47,2211,5,15,0,1,41,21,4,0,1366,1161,205,1313.08,2.05,11812.01,5313857.85,21483928.0,21961.0,25597789.0,20753.5,23779752.0,21350.0,25906312.0,20502.0,27129325.0,20661.0,27893573.0,21980.0,39,1565.05,LOW_INCOME,LOW_INCOME,-50.74,0.09,DECREASE,LG_INCREASE
155,156,110.0,11001011000,3715,3584,1632,1712,29,140,3,68,90,49,40,3,183,1560,1683,24,139,3,13,77,40,36,3,3354,1593,1455,23,130,3,54,58,40,28,2,158,1524,1429,20,130,3,11,48,32,25,2,2673,2345,328,254.12,0.4,5794.14,1028396.82,142255206.0,61476.0,159856545.0,66090.0,159085656.0,61805.0,167859350.0,64116.0,173116968.42,67450.0,184361322.0,70438.5,9,9356.12,MID_INCOME,MID_HIGH_INCOME,257.11,14.58,LG_INCREASE,LG_INCREASE
156,157,111.0,11001011100,4859,4727,322,4192,24,15,1,173,110,58,19,3,337,241,4147,18,15,1,8,88,46,19,3,3945,279,3410,21,13,1,123,85,43,12,3,237,223,3379,15,13,1,5,70,37,12,3,1868,1727,141,1497.65,2.34,13673.11,6060779.7,101111776.0,40473.0,108672370.0,40625.5,99900451.0,40198.0,104974019.0,41009.0,115762533.0,41166.0,122414153.0,42315.0,24,2076.42,MID_INCOME,MID_INCOME,56.88,4.55,LG_INCREASE,LG_INCREASE
157,158,93.01,11001009301,3143,3031,979,1915,14,71,0,52,75,32,24,1,221,866,1891,13,67,0,3,56,30,23,1,2617,866,1555,13,66,0,39,50,31,18,1,175,768,1535,12,62,0,3,42,29,17,1,1230,1162,68,272.13,0.43,4589.38,1101283.48,80177844.52,46848.0,96067410.0,47415.0,89517062.0,46693.0,96422375.11,47221.0,116557623.0,54943.0,124565445.0,57282.5,22,7391.68,MID_INCOME,MID_INCOME,,22.27,LG_INCREASE,LG_INCREASE
158,159,78.09,11001007809,2922,2875,58,2768,9,4,0,36,40,19,6,0,86,35,2753,5,4,0,1,38,16,6,0,2129,51,2011,8,3,0,26,24,17,1,0,65,33,2001,4,3,0,1,22,14,1,0,1339,1135,204,132.24,0.21,3874.36,535152.07,37559798.37,27390.0,41012846.0,24953.0,37380788.0,25825.5,39381158.0,25178.0,44647455.0,27046.0,48307774.0,28461.0,31,14141.67,LOW_INCOME,LOW_INCOME,-33.22,3.91,DECREASE,LG_INCREASE
159,160,79.01,11001007901,3822,3730,397,3252,16,24,0,41,85,32,21,3,115,349,3240,11,24,0,7,73,30,18,2,2771,362,2287,13,24,0,30,50,24,11,3,76,327,2280,9,24,0,6,47,23,9,2,1784,1540,244,98.42,0.15,2551.39,398272.1,54104963.0,29975.0,68844302.0,31673.0,60769648.0,29766.0,65914144.0,30020.5,76444757.0,34692.0,85297510.0,37573.0,25,24854.7,LOW_INCOME,MID_INCOME,-31.72,25.35,DECREASE,LG_INCREASE
160,161,79.03,11001007903,1774,1749,156,1536,6,10,0,41,22,14,3,1,95,120,1518,6,9,0,4,22,12,3,1,1407,136,1205,5,10,0,31,17,11,2,1,70,112,1192,5,9,0,2,17,9,2,1,880,778,102,59.94,0.09,2170.95,242584.35,33231634.0,36257.0,41719677.0,39557.0,34946070.0,36732.0,38094648.0,36321.5,46326405.0,44633.0,53049430.0,47103.0,25,18940.38,MID_INCOME,MID_INCOME,,29.91,LG_INCREASE,LG_INCREASE
161,162,80.01,11001008001,2784,2701,1321,1247,10,65,1,57,51,21,26,7,138,1264,1235,7,62,1,9,42,16,24,7,2397,1168,1058,10,58,1,40,39,19,16,4,111,1119,1049,7,55,1,5,32,14,14,4,1391,1286,105,80.43,0.13,2400.6,325492.36,100414811.0,60366.0,126560393.0,67249.0,113921738.0,63888.0,122354172.0,66117.5,130054316.0,70322.0,144770934.0,75309.5,25,22152.68,MID_INCOME,MID_HIGH_INCOME,,24.75,LG_INCREASE,LG_INCREASE
162,163,80.02,11001008002,3031,2946,1662,1158,6,74,3,43,43,14,31,3,114,1602,1152,4,73,3,8,40,13,30,0,2614,1450,1014,6,65,1,33,19,10,16,2,91,1400,1011,4,64,1,6,17,9,15,0,1644,1477,167,142.85,0.22,3883.37,578096.02,121769571.0,67000.5,162596832.0,72447.0,142225876.0,68264.0,160531068.0,70314.0,156077250.77,75659.5,173685028.0,80922.0,26,13579.5,MID_HIGH_INCOME,MID_HIGH_INCOME,,20.78,LG_INCREASE,LG_INCREASE
163,164,81.0,11001008100,2910,2823,2276,422,11,75,1,38,33,19,47,1,133,2195,413,10,74,1,4,31,17,47,1,2551,2027,366,11,62,1,26,23,19,29,1,106,1957,361,10,61,1,2,21,17,29,1,1549,1452,97,72.22,0.11,2331.35,292256.37,139606334.0,81428.0,168364052.0,72100.0,166143944.0,77408.0,167686490.0,77394.0,173483443.0,85914.0,194119047.0,90338.0,25,25788.54,MID_HIGH_INCOME,MID_HIGH_INCOME,,10.94,LG_INCREASE,LG_INCREASE
164,165,82.0,11001008200,2918,2843,2515,156,12,116,1,43,15,14,50,2,134,2443,152,9,113,1,2,11,11,45,2,2674,2328,146,12,106,1,37,12,11,23,2,119,2260,142,9,103,1,2,9,8,23,2,1655,1522,133,84.05,0.13,3038.87,340119.02,117647812.0,70126.5,147633111.0,67792.5,142848043.0,69117.5,155157942.0,70452.0,143780010.0,77086.0,159931869.0,78676.0,26,22220.41,MID_HIGH_INCOME,MID_HIGH_INCOME,128.36,12.19,LG_INCREASE,LG_INCREASE
165,166,83.01,11001008301,2279,2225,1743,383,5,67,1,26,21,7,31,1,80,1703,373,5,66,1,2,19,5,31,1,2039,1585,331,4,59,1,23,14,6,19,1,71,1546,324,4,58,1,1,14,5,19,1,1154,1072,82,75.11,0.12,2368.74,303945.31,100958815.0,79178.0,126739845.0,80765.0,117129497.0,71931.0,125316966.0,77114.5,137994779.0,83172.5,159487649.0,82900.0,25,19419.88,MID_HIGH_INCOME,MID_HIGH_INCOME,353.61,4.7,LG_INCREASE,LG_INCREASE
166,167,83.02,11001008302,2206,2141,1553,490,12,66,2,18,20,12,36,2,94,1487,487,10,64,2,9,18,8,31,2,1940,1367,448,11,60,2,9,15,12,18,2,62,1322,447,9,58,2,4,15,8,17,2,1032,966,66,64.46,0.1,2372.7,260868.12,98202439.0,75686.0,121676185.0,69139.0,115145078.0,72632.0,124644728.0,70932.0,122260480.0,77004.5,148237948.0,80862.0,25,21901.92,MID_HIGH_INCOME,MID_HIGH_INCOME,65.39,6.84,LG_INCREASE,LG_INCREASE
167,168,84.02,11001008402,2149,2081,1156,846,7,51,4,17,34,21,20,6,99,1095,830,5,49,4,5,32,20,19,4,1920,1036,756,6,49,4,14,24,18,17,5,76,990,741,4,49,4,5,24,17,17,3,1270,1174,96,66.31,0.1,2657.41,268337.17,64090679.0,50048.0,84827411.0,55894.5,76375227.0,50961.0,83894892.0,54722.0,78279904.0,59253.0,95344734.0,63150.0,26,20742.13,MID_INCOME,MID_INCOME,-5.86,26.18,DECREASE,LG_INCREASE
168,169,84.1,11001008410,1489,1463,451,958,4,24,3,23,16,10,3,1,71,421,942,4,22,3,4,16,8,3,1,1232,414,754,4,24,3,14,10,10,2,1,57,385,744,4,22,3,2,10,8,2,1,681,604,77,54.39,0.08,2326.1,220126.53,41390921.0,46940.0,54787972.0,48372.0,47944604.0,46774.0,51016505.0,48283.0,60603534.0,55593.0,71052704.0,58733.0,25,17519.43,MID_INCOME,MID_INCOME,49.84,25.12,LG_INCREASE,LG_INCREASE
169,170,94.0,11001009400,4163,4038,370,3467,23,42,0,136,94,50,20,1,266,301,3424,22,41,0,12,80,44,18,1,3397,314,2846,20,36,0,94,69,42,10,1,180,264,2820,20,35,0,10,58,37,8,1,1792,1651,141,393.02,0.61,5500.08,1590514.64,111394852.0,48688.0,122069723.0,49363.5,112928463.0,48019.0,119206939.0,49071.0,135842841.0,51938.5,139399116.0,52796.5,24,6779.01,MID_INCOME,MID_INCOME,,8.44,LG_INCREASE,LG_INCREASE
170,171,95.01,11001009501,5797,5595,2128,2827,36,108,10,486,99,49,58,15,831,1926,2778,21,102,5,9,78,42,54,12,5099,2093,2351,27,105,8,347,73,43,55,12,636,1916,2311,19,99,3,9,59,36,51,9,1954,1802,152,393.94,0.62,6251.17,1594219.68,54810127.0,28094.0,66633719.98,28334.0,60953895.0,28147.0,64279289.0,27023.0,62507127.54,27422.5,71687637.0,29720.5,19,9417.87,LOW_INCOME,LOW_INCOME,-0.86,5.79,DECREASE,LG_INCREASE
