,OBJECTID_1,GIS_ID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,AREA,LEN,SHAPE_Length,SHAPE_Area,NEIGHBORHOODCLUSTER,INCOME_LEVEL_2005
155,156,Tract00_135,74.01,74.1,0.54,5511.61,2996,2000 Tract 74.01,893,1346,0.45,1650,0.55,313,17,302,5,1,23,19,11.67,2683,2996,313,0.12,12,2930,1,0,0,2,27,59,0.07,74.1, ,45,56,16,25,391,194,101,0,0,0,0,0,0,25,141,14963202.0,19818.81,17215.0,13336798.0,20335.0,0,0,6307.74,1407864.77,37,LOW_INCOME
156,157,Tract00_144,98.04,98.4,0.2,12679.12,2566,2000 Tract 98.04,909,921,0.36,1645,0.64,-215,14,-228,7,1,10,14,-7.73,2781,2566,-215,-0.08,15,2501,5,3,0,1,22,302,0.33,98.4, ,63,114,22,30,254,151,177,0,0,0,0,0,0,38,237,30042722.0,31590.66,25798.0,26209722.0,29215.0,0,0,3748.99,524165.09,39,LOW_INCOME
158,159,Tract00_186,94.0,94.0,0.63,6654.53,4166,2000 Tract 94,1686,792,0.19,3374,0.81,-461,-57,-407,33,21,65,54,-9.96,4627,4166,-461,-0.1,128,3816,5,23,0,10,119,1356,0.8,94.1,Number Change,170,431,19,52,115,255,601,0,0,0,0,0,0,99,545,88449285.0,48732.39,41013.0,80314310.0,47073.0,0,0,5539.93,1621444.22,24,MID_INCOME
159,160,Tract00_072,50.0,50.0,0.17,43014.18,7278,2000 Tract 50,3614,931,0.13,6347,0.87,826,1282,-1053,61,247,1131,725,12.8,6452,7278,826,0.13,1894,2635,11,392,1,26,2145,827,0.23,50.0, ,253,284,46,162,132,132,537,78,0,78,14519000,0,14519000,647,1958,201376016.0,64876.29,43902.5,190841951.0,53562.5,0,0,2957.1,438226.48,7,MID_INCOME
164,165,Tract00_082,85.0,85.0,0.2,15699.61,3209,2000 Tract 85,1129,829,0.26,2380,0.74,-457,-16,-437,0,5,21,25,-12.47,3666,3209,-457,-0.12,128,2935,5,23,1,1,94,671,0.59,85.1,Number Change,87,150,22,56,150,208,237,0,0,0,0,0,0,113,343,50699794.0,41252.88,30709.0,47094962.0,36068.5,0,0,3072.44,529398.95,25,MID_INCOME
165,166,Tract00_084,47.0,47.0,0.25,17576.51,4382,2000 Tract 47,1740,1444,0.33,2938,0.67,-173,-19,-190,8,55,16,42,-3.8,4555,4382,-173,-0.04,119,4020,14,114,1,8,49,120,0.07,47.0, ,72,98,27,37,466,199,170,0,0,0,0,0,0,65,776,27885174.0,22837.98,17455.0,26274132.0,21878.5,0,0,3638.16,645719.52,8,LOW_INCOME
166,167,Tract00_087,51.0,51.0,0.15,5155.73,783,2000 Tract 51,573,32,0.04,751,0.96,-212,-97,-86,10,-16,14,22,-21.31,995,783,-212,-0.21,422,195,6,35,0,1,89,89,0.16,51.0, ,13,34,2,8,5,6,47,0,0,0,0,0,0,50,455,48352992.0,109893.16,45761.0,51841645.0,52511.0,0,0,2757.95,393332.81,8,MID_INCOME
167,168,Tract00_089,56.0,56.0,0.21,28174.75,5946,2000 Tract 56,3529,83,0.01,5863,0.99,1288,751,137,19,417,84,106,27.65,4658,5946,1288,0.28,4454,344,14,619,3,27,363,1247,0.35,56.0, ,38,425,5,29,10,49,463,28,0,28,3700000,0,3700000,523,2450,169734687.0,92096.95,53162.0,176060863.0,65502.5,0,0,4104.39,546606.42,5,MID_INCOME
168,169,Tract00_091,84.01,84.01,0.08,25167.67,2139,2000 Tract 84.01,499,300,0.14,1839,0.86,425,445,-44,33,45,40,33,24.8,1714,2139,425,0.25,454,1504,10,33,2,3,66,336,0.67,84.1, ,36,71,13,41,66,100,107,9,9,0,765000,765000,0,50,122,25531637.0,40144.08,31326.5,23523247.0,36400.0,0,0,2326.2,220119.99,26,MID_INCOME
170,171,Tract00_156,73.01,73.1,3.8,1379.18,5234,2000 Tract 73.01,1361,1955,0.37,3279,0.63,-2533,-1202,-996,36,-104,-73,-46,-32.61,7767,5234,-2533,-0.33,2844,1516,32,181,21,24,442,27,0.02,73.1, ,873,293,37,4,103,7,1166,0,0,0,0,0,0,11,33,4099121.0,32024.38,28339.0,2200818.0,30447.5,0,0,17472.2,9829116.57,39,LOW_INCOME
171,172,Tract00_136,76.05,76.5,0.18,21238.58,3721,2000 Tract 76.05,1696,875,0.24,2846,0.76,-157,-4,-146,23,25,11,11,-4.05,3878,3721,-157,-0.04,43,3577,8,16,0,0,30,392,0.23,76.5, ,121,205,48,58,225,223,326,0,0,0,0,0,0,112,704,49658308.0,34437.11,30108.0,44444617.0,33743.0,0,0,3672.9,453755.89,34,MID_INCOME
172,173,Tract00_137,75.03,75.3,0.19,13113.98,2515,2000 Tract 75.03,870,941,0.37,1574,0.63,-503,-42,-434,15,-6,2,9,-16.67,3018,2515,-503,-0.17,28,2424,3,5,1,3,26,292,0.34,75.3, ,59,76,24,36,263,124,135,0,0,0,0,0,0,52,236,19665632.0,23439.37,18495.0,17976840.0,22339.0,0,0,2863.39,496702.17,28,LOW_INCOME
173,174,Tract00_138,75.04,75.4,0.3,7934.85,2358,2000 Tract 75.04,856,836,0.35,1522,0.65,-313,-54,-262,14,7,7,10,-11.72,2671,2358,-313,-0.12,21,2280,4,13,0,3,21,163,0.19,75.4, ,56,69,36,30,254,119,125,0,0,0,0,0,0,59,233,17936998.0,23601.31,20474.5,16286150.0,24208.0,0,0,4253.3,769660.18,28,LOW_INCOME
174,175,Tract00_171,74.09,74.9,0.16,21420.57,3444,2000 Tract 74.09,1388,1327,0.39,2117,0.61,463,3,468,20,-7,16,13,15.53,2981,3444,463,0.16,8,3368,0,1,0,7,33,247,0.18,74.9, ,92,86,54,35,494,158,178,15,15,0,975000,975000,0,67,402,35202706.0,29117.21,23199.0,32043360.0,27475.0,0,0,3042.8,416421.29,38,LOW_INCOME
175,176,Tract00_170,73.04,73.4,0.48,9641.42,4665,2000 Tract 73.04,1482,1888,0.4,2777,0.6,190,15,203,21,1,-12,-9,4.25,4475,4665,190,0.04,38,4548,17,6,0,0,20,315,0.21,73.4, ,128,149,57,46,539,199,277,0,0,0,0,0,0,63,301,30168145.0,27105.25,21283.0,26812675.0,25550.5,0,0,5504.9,1253160.34,38,LOW_INCOME
176,177,Tract00_145,98.03,98.3,0.21,10828.61,2236,2000 Tract 98.03,969,634,0.28,1602,0.72,-575,-14,-563,24,0,-11,6,-20.45,2811,2236,-575,-0.2,25,2154,3,5,0,4,20,191,0.2,98.3, ,81,105,17,30,193,109,186,0,0,0,0,0,0,61,373,24873670.0,28855.77,25493.0,23170893.0,29538.0,0,0,3196.61,534808.78,39,LOW_INCOME
177,178,Tract00_146,98.07,98.7,0.4,8030.95,3238,2000 Tract 98.07,1287,878,0.27,2360,0.73,-146,-17,-97,8,-11,-2,-2,-4.31,3384,3238,-146,-0.04,53,3115,1,16,1,0,28,531,0.41,98.7, ,103,183,43,46,204,172,286,0,0,0,0,0,0,86,450,36668320.0,33004.79,27939.0,33999545.0,31090.0,0,0,5038.56,1044266.08,39,LOW_INCOME
178,179,Tract00_147,98.01,98.1,0.17,12337.01,2091,2000 Tract 98.01,664,931,0.45,1160,0.55,-564,-9,-574,9,8,-52,12,-21.24,2655,2091,-564,-0.21,1,2047,6,1,0,12,16,139,0.21,98.1, ,31,51,14,15,292,131,82,0,0,0,0,0,0,22,108,8812141.0,23312.54,20156.0,7801044.0,22931.0,0,0,3209.65,438975.42,39,LOW_INCOME
179,180,Tract00_148,98.02,98.2,0.08,23303.23,1806,2000 Tract 98.02,595,721,0.4,1085,0.6,-403,8,-393,-7,7,3,2,-18.24,2209,1806,-403,-0.18,5,1772,2,3,0,0,7,143,0.24,98.2, ,38,58,18,18,186,125,96,0,0,0,0,0,0,20,132,10992823.0,22618.98,18705.0,10239680.0,22971.0,0,0,2124.29,200716.79,39,LOW_INCOME
180,181,Tract00_149,98.06,98.6,0.34,17280.65,5948,2000 Tract 98.06,2369,2164,0.36,3784,0.64,-1326,-35,-1276,27,13,-24,3,-22.4,5921,5948,-1326,-0.18,45,5796,11,11,2,8,29,312,0.13,98.5,Tracts Combined,138,186,55,72,757,294,324,0,0,0,0,0,0,109,758,56928931.0,24040.93,21421.0,51261468.0,23960.5,0,0,4257.97,891476.41,39,LOW_INCOME
181,182,Tract00_168,98.08,98.8,0.21,11966.06,2468,2000 Tract 98.08,1161,696,0.28,1772,0.72,88,1,96,13,8,-10,-1,3.7,2380,2468,88,0.04,19,2390,5,4,1,2,22,82,0.07,98.8, ,66,85,45,40,236,116,151,0,0,0,0,0,0,96,477,17013314.0,25242.31,23078.0,16081510.0,26450.0,0,0,3157.15,534192.2,39,LOW_INCOME
182,183,Tract00_165,16.0,16.0,1.06,3788.16,4030,2000 Tract 16,1633,722,0.18,3308,0.82,-455,-208,-213,39,-6,54,54,-10.14,4485,4030,-455,-0.1,844,2905,7,32,0,23,130,1464,0.9,16.0, ,280,597,17,48,69,151,877,2,2,0,400000,400000,0,87,384,182910896.0,107468.21,72183.0,175248188.0,80973.0,0,0,8811.06,2755356.48,16,MID_HIGH_INCOME
183,184,Tract00_166,15.0,15.0,1.84,3073.43,5649,2000 Tract 15,2222,1390,0.25,4259,0.75,79,22,83,18,66,45,41,1.42,5570,5649,79,0.01,4564,631,4,119,2,25,185,1953,0.88,15.0, ,693,724,11,23,75,67,1417,1,1,0,200000,200000,0,121,508,376818365.0,163691.73,107546.0,390373535.0,125548.5,0,0,10671.03,4760439.06,10,HIGH_INCOME
184,185,Tract00_160,11.0,11.0,0.66,6752.57,4428,2000 Tract 11,1854,809,0.18,3619,0.82,13,-172,120,17,104,11,78,0.29,4415,4428,13,0.0,3601,248,2,234,2,30,200,1412,0.76,11.0, ,395,494,13,18,55,56,889,4,4,0,619600,619600,0,202,621,294184386.0,141231.1,66978.0,290787961.0,81817.0,0,0,5942.84,1698388.47,11,MID_HIGH_INCOME
185,186,Tract00_009,26.0,26.0,0.84,2600.31,2184,2000 Tract 26,964,355,0.16,1829,0.84,-108,23,-127,17,5,25,38,-4.71,2292,2184,-108,-0.05,664,1339,5,40,0,15,75,691,0.72,26.0, ,154,252,6,23,24,80,406,1,1,0,295000,295000,0,88,337,103181489.0,106482.44,64022.0,96999438.0,71249.5,0,0,8828.58,2175337.17,18,MID_INCOME
186,187,Tract00_013,12.0,12.0,0.47,10338.73,4856,2000 Tract 12,2567,623,0.13,4233,0.87,30,-122,58,28,163,-31,45,0.62,4826,4856,30,0.01,3743,275,5,332,6,15,370,1272,0.5,12.0, ,312,470,17,33,66,67,782,0,0,0,0,0,0,409,1193,242970327.0,97461.02,58594.0,265305808.0,71337.0,0,0,4884.23,1216502.91,12,MID_INCOME
187,188,Tract00_021,24.0,24.0,0.21,16667.44,3580,2000 Tract 24,1252,840,0.23,2740,0.77,-305,102,-533,22,1,247,209,-7.85,3885,3580,-305,-0.08,103,2934,3,14,1,9,452,792,0.63,24.0, ,134,192,29,54,112,233,326,0,0,0,0,0,0,88,410,52819845.0,35473.37,26925.0,48714675.0,32424.5,0,0,3266.08,556315.14,18,LOW_INCOME
