,OBJECTID_1,GIS_ID,FEDTRACTNO,TRACTNO,AREASQMI,POPDENSITY,TOTAL,NAME,FULLTOTAL,AGE0_17,AGE0_17PCT,AGE18PLUS,AGE18PLUSP,CHTOTAL,CHWHITE,CHBLACK,CHAMERIND,CHASIAN,CHHISP,CHOTHER,TOTALPERC,TOTAL90,TOTAL00,TOTPOPCHG,TOTPOPCHGP,WHITE,BLACK,AMERIND,ASIAN,HAWAIIAN,OTHER,HISPANIC,OCCUPIEDHO,PCTOWNEROC,TRACT90,COMMENT_,MRDCHREL,MRDCHRELNO,MHHCHREL,MHHCHRELNO,FMHHCHREL,FMHHCHRELN,MARRIED,TOTHOUSEUN,SINGLEFAMI,MULTIUNIT,CONSTRCOST,SINGLECOST,MULTICOST,MULTIPERSO,SINGLEPERS,FAGI_TOTAL_2005,FAGI_MEAN_2005,FAGI_MEDIAN_2005,FAGI_TOTAL_2006,FAGI_MEDIAN_2006,AREA,LEN,SHAPE_Length,SHAPE_Area,NEIGHBORHOODCLUSTER,INCOME_LEVEL_2005
79,80,Tract00_178,99.05,99.5,0.17,15813.79,2670,2000 Tract 99.05,1041,859,0.32,1811,0.68,-499,7,-508,6,10,3,8,-15.75,3169,2670,-499,-0.16,13,2623,0,4,0,2,9,395,0.38,99.5, ,71,132,31,45,215,154,203,2,2,0,70000,70000,0,53,340,26482114.0,26967.53,22693.0,24386768.0,27321.5,0,0,2925.86,437287.42,33,LOW_INCOME
80,81,Tract00_120,60.01,60.1,0.25,10685.81,2680,2000 Tract 60.01,1684,253,0.09,2427,0.91,607,-158,667,34,114,38,152,29.28,2073,2680,607,0.29,651,1532,12,129,0,25,154,270,0.16,60.1, ,76,177,20,26,58,59,253,0,0,0,0,0,0,162,1106,64917693.0,53298.6,44386.5,60008823.0,52888.0,0,0,3702.26,649578.7,9,MID_INCOME
81,82,Tract00_122,68.02,68.2,0.11,18929.81,2066,2000 Tract 68.02,855,407,0.2,1659,0.8,-288,-42,-240,22,-3,-5,9,-12.23,2354,2066,-288,-0.12,241,1746,7,9,5,1,28,550,0.64,68.2, ,69,121,9,35,90,128,190,0,0,0,0,0,0,94,309,47867741.0,51526.09,39301.0,46798010.0,46309.0,0,0,2547.99,282682.49,26,MID_INCOME
82,83,Tract00_123,99.07,99.7,0.18,16846.95,3037,2000 Tract 99.07,1040,1199,0.39,1838,0.61,-60,15,-82,1,6,20,10,-1.94,3097,3037,-60,-0.02,18,2980,1,2,1,0,25,280,0.27,99.7, ,65,122,28,25,350,197,187,0,0,0,0,0,0,30,223,24002437.0,25920.56,21880.5,21952976.0,25443.0,0,0,3177.0,466899.6,33,LOW_INCOME
83,84,Tract00_126,71.0,71.0,0.29,9821.21,2818,2000 Tract 71,1103,985,0.35,1833,0.65,-62,-61,-33,6,45,-5,35,-2.15,2880,2818,-62,-0.02,224,2403,8,55,1,12,82,334,0.3,71.0, ,71,74,23,12,306,124,145,1,1,0,50000,50000,0,118,375,32556114.0,35894.28,27384.0,29512629.0,31681.0,0,0,3932.54,743151.85,27,LOW_INCOME
84,85,Tract00_128,72.0,72.0,0.64,2863.69,1825,2000 Tract 72,845,565,0.31,1260,0.69,-264,-305,43,4,5,8,6,-12.64,2089,1825,-264,-0.13,56,1721,2,7,2,0,22,29,0.03,72.0, ,25,51,9,21,193,100,76,0,0,0,0,0,0,35,411,1838471.0,26263.87,19240.0,1561512.0,20256.0,0,0,5415.53,1650591.9,27,LOW_INCOME
85,86,Tract00_132,64.0,64.0,0.37,6116.37,2240,2000 Tract 64,961,633,0.28,1607,0.72,-276,40,-362,11,46,25,37,-10.97,2516,2240,-276,-0.11,71,2027,4,45,0,2,60,138,0.14,64.1,Number Change,28,78,19,30,218,192,106,0,0,0,0,0,0,39,357,17503568.0,24863.02,18357.5,15375298.0,22174.5,0,0,4750.58,948527.76,9,LOW_INCOME
86,87,Tract00_169,97.0,97.0,0.16,14491.03,2309,2000 Tract 97,844,817,0.35,1492,0.65,-2104,2,-2090,-1,5,-12,0,-47.68,4413,2309,-2104,-0.48,3,2279,1,2,0,2,2,341,0.4,97.0, ,68,94,32,27,240,130,162,0,0,0,0,0,0,57,196,37852197.0,32324.68,26852.0,34208852.0,31130.5,0,0,3395.59,412681.26,39,LOW_INCOME
87,88,Tract00_125,99.01,99.1,0.81,2836.51,2302,2000 Tract 99.01,1014,337,0.15,1965,0.85,-336,-114,-212,21,-1,13,12,-12.74,2638,2302,-336,-0.13,91,2148,4,0,2,1,31,867,0.86,99.1, ,76,351,13,36,55,134,427,1,1,0,200000,200000,0,42,307,60268717.0,57180.95,47329.0,57990181.0,55047.0,0,0,5944.72,2101946.45,34,MID_INCOME
88,89,Tract00_127,77.09,77.9,0.35,5633.52,1979,2000 Tract 77.09,950,463,0.23,1516,0.77,-364,-69,-283,18,8,-6,-10,-15.54,2343,1979,-364,-0.16,29,1878,6,8,0,1,35,299,0.31,77.9, ,56,105,22,28,130,109,161,0,0,0,0,0,0,66,434,27328907.0,31667.33,26041.0,24180741.0,28385.0,0,0,4497.71,909841.92,34,LOW_INCOME
